event_id,timestamp,line,product_family,defect_type,severity,units_impacted,root_cause
Q25168,2026-02-06T18:56:00Z,Line-A,Rotor-Core,Coating Void,Medium,18,Setup Drift
Q25400,2026-02-06T19:01:00Z,Line-C,Rotor-Core,Thread Damage,Medium,70,Setup Drift
Q25857,2026-02-06T05:33:00Z,Line-C,Rotor-Core,Burr,Low,23,Supplier Material
Q25795,2026-02-06T03:11:00Z,Line-C,Rotor-Core,Dimension Drift,Medium,40,Setup Drift
Q25934,2026-02-06T01:05:00Z,Line-B,Pump-Housing,Surface Scratch,Low,33,Sensor Fault
Q25647,2026-02-06T01:17:00Z,Line-A,Pump-Housing,Dimension Drift,Medium,18,Sensor Fault
Q25603,2026-02-06T19:47:00Z,Line-A,Pump-Housing,Dimension Drift,Medium,26,Setup Drift
Q25907,2026-02-06T17:12:00Z,Line-B,Rotor-Core,Surface Scratch,Low,6,Sensor Fault
Q25699,2026-02-06T01:38:00Z,Line-C,Pump-Housing,Porosity,Medium,18,Tool Wear
Q25441,2026-02-06T01:20:00Z,Line-B,Pump-Housing,Porosity,Medium,60,Tool Wear
Q26626,2026-02-07T02:52:00Z,Line-C,Valve-Body,Coating Void,Medium,24,Sensor Fault
Q26334,2026-02-07T19:53:00Z,Line-D,Valve-Body,Porosity,Medium,24,Tool Wear
Q26761,2026-02-07T17:14:00Z,Line-A,Seal-Plate,Burr,Low,26,Sensor Fault
Q26632,2026-02-07T04:07:00Z,Line-D,Pump-Housing,Dimension Drift,Medium,36,Tool Wear
Q26231,2026-02-07T22:45:00Z,Line-A,Pump-Housing,Burr,Low,29,Tool Wear
Q26657,2026-02-07T09:57:00Z,Line-D,Seal-Plate,Surface Scratch,Low,37,Supplier Material
Q26855,2026-02-07T11:32:00Z,Line-C,Pump-Housing,Porosity,Medium,38,Setup Drift
Q26593,2026-02-07T00:12:00Z,Line-D,Valve-Body,Dimension Drift,Medium,60,Operator Method
Q26949,2026-02-07T06:37:00Z,Line-D,Seal-Plate,Thread Damage,Medium,40,Supplier Material
Q26358,2026-02-07T02:46:00Z,Line-A,Rotor-Core,Surface Scratch,Low,17,Tool Wear
Q26690,2026-02-07T10:01:00Z,Line-D,Pump-Housing,Porosity,Medium,52,Setup Drift
Q26877,2026-02-07T07:54:00Z,Line-B,Pump-Housing,Dimension Drift,Medium,30,Setup Drift
Q26680,2026-02-07T01:12:00Z,Line-D,Valve-Body,Burr,Low,24,Tool Wear
Q27538,2026-02-08T01:01:00Z,Line-C,Pump-Housing,Dimension Drift,Medium,30,Supplier Material
Q27994,2026-02-08T11:39:00Z,Line-B,Seal-Plate,Porosity,Medium,8,Supplier Material
Q27215,2026-02-08T01:11:00Z,Line-C,Seal-Plate,Seal Defect,High,75,Supplier Material
Q27228,2026-02-08T07:48:00Z,Line-C,Rotor-Core,Porosity,Medium,20,Tool Wear
Q27640,2026-02-08T18:40:00Z,Line-A,Seal-Plate,Thread Damage,Medium,36,Sensor Fault
Q27744,2026-02-08T03:31:00Z,Line-B,Pump-Housing,Dimension Drift,Medium,30,Tool Wear
Q27773,2026-02-08T19:05:00Z,Line-C,Pump-Housing,Burr,Low,17,Supplier Material
Q27610,2026-02-08T10:49:00Z,Line-D,Pump-Housing,Coating Void,Medium,76,Sensor Fault
Q28279,2026-02-09T00:25:00Z,Line-C,Rotor-Core,Seal Defect,High,57,Tool Wear
Q28937,2026-02-09T12:40:00Z,Line-D,Valve-Body,Burr,Low,31,Tool Wear
Q28196,2026-02-09T08:48:00Z,Line-D,Seal-Plate,Thread Damage,Medium,44,Sensor Fault
Q28945,2026-02-09T19:08:00Z,Line-C,Seal-Plate,Seal Defect,High,84,Operator Method
Q28181,2026-02-09T08:44:00Z,Line-C,Valve-Body,Thread Damage,Medium,74,Supplier Material
Q28594,2026-02-09T18:56:00Z,Line-C,Seal-Plate,Porosity,Medium,24,Operator Method
Q28804,2026-02-09T23:59:00Z,Line-C,Rotor-Core,Seal Defect,High,84,Supplier Material
Q28822,2026-02-09T07:53:00Z,Line-C,Valve-Body,Burr,Low,12,Setup Drift
Q28830,2026-02-09T00:05:00Z,Line-C,Seal-Plate,Dimension Drift,Medium,40,Tool Wear
Q28574,2026-02-09T03:46:00Z,Line-C,Pump-Housing,Surface Scratch,Low,28,Operator Method
Q28399,2026-02-09T06:08:00Z,Line-D,Valve-Body,Surface Scratch,Low,7,Supplier Material
Q28841,2026-02-09T23:25:00Z,Line-D,Pump-Housing,Coating Void,Medium,18,Operator Method
Q28197,2026-02-09T03:58:00Z,Line-B,Pump-Housing,Porosity,Medium,54,Tool Wear
Q29749,2026-02-10T06:21:00Z,Line-B,Seal-Plate,Dimension Drift,Medium,16,Setup Drift
Q29726,2026-02-10T14:03:00Z,Line-D,Valve-Body,Burr,Low,25,Sensor Fault
Q29827,2026-02-10T07:26:00Z,Line-B,Seal-Plate,Dimension Drift,Medium,14,Supplier Material
Q29617,2026-02-10T10:05:00Z,Line-A,Rotor-Core,Surface Scratch,Low,22,Sensor Fault
Q29463,2026-02-10T01:45:00Z,Line-A,Valve-Body,Dimension Drift,Medium,38,Supplier Material
Q29763,2026-02-10T05:35:00Z,Line-A,Seal-Plate,Surface Scratch,Low,33,Sensor Fault
Q29204,2026-02-10T08:53:00Z,Line-A,Pump-Housing,Porosity,Medium,36,Sensor Fault
Q29703,2026-02-10T22:56:00Z,Line-C,Seal-Plate,Surface Scratch,Low,22,Tool Wear
Q29745,2026-02-10T12:38:00Z,Line-C,Pump-Housing,Coating Void,Medium,52,Supplier Material
Q29744,2026-02-10T02:14:00Z,Line-C,Pump-Housing,Seal Defect,High,81,Tool Wear
Q29478,2026-02-10T06:33:00Z,Line-B,Seal-Plate,Burr,Low,14,Setup Drift
Q29343,2026-02-10T11:09:00Z,Line-C,Pump-Housing,Thread Damage,Medium,44,Tool Wear
